,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User
0,0.0,Sun Jun 10 01:58:31 +0000 2018,1.0,0.0,0.0,1,@BBCWorld
1,0.0,Sun Jun 10 01:44:19 +0000 2018,1.0,0.0,0.0,2,@BBCWorld
2,0.0,Sun Jun 10 01:39:52 +0000 2018,1.0,0.0,0.0,3,@BBCWorld
3,0.25,Sun Jun 10 01:37:26 +0000 2018,0.846,0.0,0.154,4,@BBCWorld
4,0.0,Sun Jun 10 01:25:49 +0000 2018,1.0,0.0,0.0,5,@BBCWorld
5,0.0,Sun Jun 10 00:29:59 +0000 2018,1.0,0.0,0.0,6,@BBCWorld
6,0.0,Sun Jun 10 00:29:59 +0000 2018,1.0,0.0,0.0,7,@BBCWorld
7,-0.3182,Sun Jun 10 00:25:18 +0000 2018,0.813,0.187,0.0,8,@BBCWorld
8,-0.4404,Sun Jun 10 00:16:02 +0000 2018,0.633,0.367,0.0,9,@BBCWorld
9,0.0,Sat Jun 09 22:40:30 +0000 2018,1.0,0.0,0.0,10,@BBCWorld
10,0.3309,Sat Jun 09 22:10:00 +0000 2018,0.728,0.0,0.272,11,@BBCWorld
11,-0.5106,Sat Jun 09 19:39:30 +0000 2018,0.68,0.32,0.0,12,@BBCWorld
12,0.5423,Sat Jun 09 19:14:02 +0000 2018,0.741,0.0,0.259,13,@BBCWorld
13,-0.6486,Sat Jun 09 17:20:32 +0000 2018,0.569,0.431,0.0,14,@BBCWorld
14,0.0258,Sat Jun 09 16:16:27 +0000 2018,0.773,0.111,0.116,15,@BBCWorld
15,0.3612,Sat Jun 09 15:54:18 +0000 2018,0.857,0.0,0.143,16,@BBCWorld
16,-0.8225,Sat Jun 09 15:18:41 +0000 2018,0.542,0.458,0.0,17,@BBCWorld
17,0.0,Sat Jun 09 15:18:41 +0000 2018,1.0,0.0,0.0,18,@BBCWorld
18,0.5719,Sat Jun 09 15:11:50 +0000 2018,0.821,0.0,0.179,19,@BBCWorld
19,0.5423,Sat Jun 09 14:45:18 +0000 2018,0.851,0.0,0.149,20,@BBCWorld
20,0.5859,Sat Jun 09 14:30:38 +0000 2018,0.78,0.0,0.22,21,@BBCWorld
21,0.0,Sat Jun 09 13:57:56 +0000 2018,1.0,0.0,0.0,22,@BBCWorld
22,-0.802,Sat Jun 09 13:39:33 +0000 2018,0.581,0.419,0.0,23,@BBCWorld
23,0.0,Sat Jun 09 13:39:17 +0000 2018,1.0,0.0,0.0,24,@BBCWorld
24,-0.0516,Sat Jun 09 13:22:11 +0000 2018,0.794,0.107,0.099,25,@BBCWorld
25,0.0,Sat Jun 09 12:19:26 +0000 2018,1.0,0.0,0.0,26,@BBCWorld
26,-0.7184,Sat Jun 09 12:19:22 +0000 2018,0.769,0.231,0.0,27,@BBCWorld
27,0.5859,Sat Jun 09 11:32:15 +0000 2018,0.593,0.0,0.407,28,@BBCWorld
28,0.0,Sat Jun 09 11:20:53 +0000 2018,1.0,0.0,0.0,29,@BBCWorld
29,0.1027,Sat Jun 09 11:20:53 +0000 2018,0.641,0.167,0.192,30,@BBCWorld
30,0.0,Sat Jun 09 10:57:49 +0000 2018,1.0,0.0,0.0,31,@BBCWorld
31,0.0,Sat Jun 09 10:57:48 +0000 2018,1.0,0.0,0.0,32,@BBCWorld
32,0.3612,Sat Jun 09 10:44:05 +0000 2018,0.8,0.0,0.2,33,@BBCWorld
33,0.0,Sat Jun 09 09:10:36 +0000 2018,1.0,0.0,0.0,34,@BBCWorld
34,0.0,Sat Jun 09 09:09:05 +0000 2018,1.0,0.0,0.0,35,@BBCWorld
35,0.0,Sat Jun 09 07:07:31 +0000 2018,1.0,0.0,0.0,36,@BBCWorld
36,0.3612,Sat Jun 09 06:07:41 +0000 2018,0.737,0.0,0.263,37,@BBCWorld
